Date,Team,Opponent,GoalsScored,GoalsConceded,Points,Venue,FormPoints,FormGoalsScored,FormGoalsConceded
2023-08-21,Arsenal,Crystal Palace,1,0,3,Away,3.0,2.0,1.0
2023-08-26,Arsenal,Fulham,2,2,1,Home,6.0,1.5,0.5
2023-09-03,Arsenal,Man United,3,1,3,Home,7.0,1.6666666666666667,1.0
2023-09-17,Arsenal,Everton,1,0,3,Away,7.0,2.0,1.0
2023-09-24,Arsenal,Tottenham,2,2,1,Home,7.0,2.0,1.0
2023-09-30,Arsenal,Bournemouth,4,0,3,Away,7.0,2.0,1.0
2023-10-08,Arsenal,Man City,1,0,3,Home,7.0,2.3333333333333335,0.6666666666666666
2023-10-21,Arsenal,Chelsea,2,2,1,Away,7.0,2.3333333333333335,0.6666666666666666
2023-10-28,Arsenal,Sheffield United,5,0,3,Home,7.0,2.3333333333333335,0.6666666666666666
2023-11-04,Arsenal,Newcastle,0,1,0,Away,7.0,2.6666666666666665,0.6666666666666666
2023-11-11,Arsenal,Burnley,3,1,3,Home,4.0,2.3333333333333335,1.0
2023-11-25,Arsenal,Brentford,1,0,3,Away,6.0,2.6666666666666665,0.6666666666666666
2023-12-02,Arsenal,Wolves,2,1,3,Home,6.0,1.3333333333333333,0.6666666666666666
2023-12-05,Arsenal,Luton,4,3,3,Away,9.0,2.0,0.6666666666666666
2023-12-09,Arsenal,Aston Villa,0,1,0,Away,9.0,2.3333333333333335,1.3333333333333333
2023-12-17,Arsenal,Brighton,2,0,3,Home,6.0,2.0,1.6666666666666667
2023-12-23,Arsenal,Liverpool,1,1,1,Away,6.0,2.0,1.3333333333333333
2023-12-28,Arsenal,West Ham,0,2,0,Home,4.0,1.0,0.6666666666666666
2023-12-31,Arsenal,Fulham,1,2,0,Away,4.0,1.0,1.0
2024-01-20,Arsenal,Crystal Palace,5,0,3,Home,1.0,0.6666666666666666,1.6666666666666667
2024-01-30,Arsenal,Nott'm Forest,2,1,3,Away,3.0,2.0,1.3333333333333333
2024-02-04,Arsenal,Liverpool,3,1,3,Home,6.0,2.6666666666666665,1.0
